Timestamp,In what region do you live?,How long have you been working with Ember?,Grade your knowledge of Javascript,Grade your knowledge of Ember.js,What is your development role?,I use Ember for work:,Choose the option(s) that best describe your employment situation:,What are your preferred server-side languages:,What is your preferred text editor:,Choose the option(s) that best describe your participation in the Ember community:,Which operating system(s) do you use for development?,What other framework(s) do you have experience with?,How many developers are employed at your company?,How many developers at your company work with Ember?,"In one year, how many Ember developers do you plan to employ?",Which version(s) of Ember are in use in your apps?,Which data-access libraries do you use?,"If you use Ember-Data, which version(s) are in use:",What kind of templates do you use in your Ember apps?,What build tools do you use to build your Ember apps?,What do you use to package your app modules?,What do you use for dependency management?,What is the primary language of your server side stack?,Select any of these server-side frameworks you use:,What standards do you follow for HTTP API design?,What tool(s) do you use for HTTP API design/documentation?,What testing framework(s) do you use in your Ember apps?,How old are your Ember applications?,How often do you deploy updated versions of your Ember apps?,What is the primary target platform for your Ember apps?,Who uses your application(s)?,What browser versions do your applications target?,"In one year, what browser versions do you expect to target?",Which of these best describes your use of Ember in production applications?,What is your preferred hosting provider for your Ember apps?,How much is shared between your server-side and client-side app hosting?,Which SCM do you use?,What method do you rely on for search engine indexing?,"How many addons have you written (including private, unpublished libraries)?",How many addons have you published publicly?,Are your addons unit tested?,Are your addons acceptance tested?
2/4/2015 12:59:41,North America,> 24 months,9,9,Developer,All the time,Employee working on product,"Python, JavaScript",Vim,"Opened an issue, Opened a PR, Maintain a library, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class, contributed commits in ember-data, ember.js, website, ember-cli",Mac OSX,"Backbone, jQuery Mobile",50-100,1-10,More,"1.8, 1.9, 1.10","Orbit or Ember-Orbit, Custom Solution, ic-ajax",,"Standard Ember Templates (Handlebars/HTMLBars), web components","Ember-cli, brunch.io",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","Python, JavaScript","Express (Node), Flask","JSON-API, Custom design",Swagger,"Ember-QUnit, Mocha","< 3 months, 3 -6 months, > 24 months",Monthly,"Desktop, Desktop & Mobile (fully responsive)","Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,"VPS (cloud infrastructure), S3 (with or without CloudFront)",Shared hardware,Git,,1-3,1-3,Some,Some
2/4/2015 13:00:24,North America,> 24 months,7,6,Developer,Some times,Independent consultant,"Ruby, Go",Sublime,"Opened an issue, Opened a PR, Written a blog post / article",Mac OSX,"Backbone, jQuery Mobile",1-10,1-10,The same amount,1.9,"Ember-Data, ic-ajax",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),"Ruby, Go",Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",Swagger,Ember-QUnit,9-12 months,Weekly,Desktop,Consumers and internal users,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,S3 (with or without CloudFront),No shared infrastructure,Git,,1-3,0,Some,Some
2/4/2015 13:08:17,North America,3-6 months,5,4,Developer,Some times,,"Ruby, JavaScript, .NET","Sublime, Vim","Opened a PR, Attended a meetup / conference","Mac OSX, Linux/Unix",Angular,,,,"1.7, 1.8, 1.9","Ember-Data, ic-ajax",,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",I don't know,ember-cli (bower and npm),Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",,We don’t write tests,3 -6 months,"Almost never, Haven’t shipped yet / Still developing",Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",Prototype only,"VPS (cloud infrastructure), S3 (with or without CloudFront)",No shared infrastructure,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 13:10:17,North America,> 24 months,9,10,CTO,All the time,Employee working on product,"Ruby, JavaScript",Vim,"Opened an issue, Opened a PR, Maintain a library, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Mac OSX,,1-10,1-10,The same amount,1.9,Custom Solution,,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline",ES6 transpilation,ember-cli (bower and npm),Ruby,Express (Node),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",,Ember-QUnit,> 24 months,Almost daily,"Desktop, Mobile","Public Consumers, Consumers and internal users, Internal users only","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by millions of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,,1-3,1-3,Some,None
2/4/2015 13:10:33,South America,> 24 months,9,8,Developer,Some times,"Employee working on product, Independent product developer","Ruby, Elixir",Vim,"Opened an issue, Opened a PR, Maintain a library, Written a blog post / article",Mac OSX,Backbone,10-20,1-10,More,"1.8, 1.9, 1.10",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","Ruby, Elixir, Go",Rails (Ruby),JSON-API,"Apiary, API Blueprint",Ember-QUnit,3 -6 months,Almost daily,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by millions of users,Heroku,Shared data-center,Git,,4-6,4-6,All,All
2/4/2015 13:10:46,Europe,> 24 months,7,7,Developer,Some times,"Independent product developer, Independent consultant",Ruby,"Vim, Chocolat","Opened an issue, Opened a PR, Maintain a library, Written a blog post / article, Given a talk / lecture / class, IRC support",Mac OSX,React,1-10,1-10,The same amount,"1.7, 1.8, 1.9, 1.10",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby)","HAL, JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.","Apiary, None",Ember-QUnit,"< 3 months, > 24 months","Weekly, Haven’t shipped yet / Still developing",Desktop,"Public Consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"Self-hosted (dedicated infrastructure), Divshot",No shared infrastructure,Git,,1-3,1-3,Some,Some
2/4/2015 13:11:26,North America,< 3 months,9,6,Developer,Some times,Employee working on product,"Ruby, Python, Java",Vim,Opened an issue,Mac OSX,Angular,10-20,1-10,More,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Yeoman","ES6 transpilation, Webpack","Bower, npm, ember-cli (bower and npm)",Scala,"Rails (Ruby), Django (Python), Scalatra, CherryPy","JSON-API, I don't get to design my API, Custom design",Swagger,"Jasmine, Selenium (Cucumber)","< 3 months, 9-12 months",Weekly,Desktop & Mobile (fully responsive),"Public Consumers, Consumers and internal users",Modern browsers (last two versions),"Mobile browsers, Modern browsers (last two versions)",Exploring the idea only,,No shared infrastructure,Git,,1-3,0,None,I'm not sure how to do this
2/4/2015 13:11:48,North America,9-12 months,5,7,Developer,Some times,Independent product developer,PHP,Sublime,Written a blog post / article,Linux/Unix,jQuery Mobile,1-10,1-10,The same amount,1.9,"Ember-Data, ic-ajax",0.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),PHP,"Symphony (PHP), Laravel (PHP)","JSON-API, Custom design",None,We don’t write tests,6-9 months,"Monthly, Haven’t shipped yet / Still developing",Desktop,"Public Consumers, Business to business consumers",Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,VPS (cloud infrastructure),Shared data-center,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 13:12:50,Europe,12-18 months,9,7,Developer,Never,Employee working on product,JavaScript,Sublime,Opened an issue,Mac OSX,Backbone,More than 100,20-50,More,"1.11 Beta, Canary (master)",,,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",JavaScript,koa,JSON-API,None,Selenium (Cucumber),12-18 months,Weekly,Desktop,Public Consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 13:13:08,Europe,18-24 months,8,8,Developer,Some times,Employee working on product,PHP,Coda,"Opened an issue, Opened a PR, Attended a meetup / conference, Written a blog post / article",Mac OSX,Backbone,1-10,1-10,The same amount,"1.4, 1.10, 1.11 Beta, Canary (master)",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Gulp",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",PHP,,"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Custom design",None,Ember-QUnit,"< 3 months, 9-12 months","Almost never, Haven’t shipped yet / Still developing",Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers",Modern browsers (last two versions),Modern browsers (last two versions),Prototype only,"VPS (cloud infrastructure), Self-hosted (dedicated infrastructure)",Shared data-center,Git,,0,0,None,None
